M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10
F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20
F,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14
F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10
I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7
M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11
F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9
F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11
M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10
F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19
F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16
F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9
I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5
M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9
I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8
F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10
M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7
F,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12
M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13
M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11
M,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9
F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9
M,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21
M,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13
M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15
F,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10
M,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9
I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7
M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10
F,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11
M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9
M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9
F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11
F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9
M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6
I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6
M,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17
I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7
F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7
F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10
M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11
M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10
M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15
F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10
F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13
M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13
F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18
F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20
M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14
F,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8
I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5
M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14
F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10
F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12
M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13
I,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8
F,0.505,0.41,0.15,0.644,0.285,0.145,0.21,11
F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9
F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13
I,0.4,0.3,0.11,0.315,0.109,0.067,0.12,9
F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
M,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9
M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8
F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9
F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11
F,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,7
M,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13
I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7
I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1
M,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17
I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8
I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13
I,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7
F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,15
M,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,19
F,0.54,0.475,0.155,0.928,0.394,0.194,0.26,11
I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,4
M,0.52,0.45,0.15,0.895,0.3615,0.186,0.235,14
F,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,22
M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15
F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12
F,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15
M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14
M,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10
M,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,17
F,0.565,0.455,0.175,1.013,0.342,0.207,0.35,19
I,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,6
F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9
M,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,6
I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,3
F,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,21
F,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,23
F,0.635,0.535,0.19,1.242,0.576,0.2475,0.39,14
I,0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,5
I,0.265,0.205,0.07,0.1055,0.039,0.041,0.035,5
I,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,7
M,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,12
I,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02,5
M,0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,14
M,0.575,0.455,0.145,1.165,0.581,0.2275,0.3,14
F,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,12
F,0.525,0.42,0.16,0.756,0.2745,0.173,0.275,9
F,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,8
M,0.58,0.455,0.17,0.93,0.408,0.259,0.22,9
M,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13
M,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18
F,0.6,0.48,0.15,1.029,0.4085,0.2705,0.295,16
M,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,11
F,0.65,0.545,0.165,1.566,0.6645,0.3455,0.415,16
F,0.7,0.575,0.17,1.31,0.5095,0.314,0.42,14
