?,?,?,0.50,0.56,?,?,cp
0.07,?,?,?,0.54,0.35,0.44,cp
?,?,?,?,?,?,0.46,cp
?,?,?,0.50,?,0.45,?,cp
?,0.32,0.48,0.50,0.55,?,?,cp
0.67,0.39,0.48,0.50,?,0.38,?,cp
?,0.28,?,?,0.44,?,?,cp
?,0.34,?,0.50,0.51,0.28,0.39,cp
0.20,0.44,?,0.50,?,?,0.57,cp
?,?,0.48,0.50,?,?,?,cp
?,?,?,?,?,?,?,cp
?,?,?,0.50,?,?,0.29,cp
?,?,?,0.50,?,?,?,cp
0.51,?,?,?,?,?,?,cp
?,0.43,?,?,?,0.16,?,cp
0.25,?,0.48,0.50,?,0.44,0.52,cp
?,?,0.48,?,0.38,0.24,0.35,cp
0.44,?,0.48,0.50,0.55,0.52,?,cp
?,0.40,?,0.50,?,?,?,cp
0.41,?,?,0.50,?,0.21,0.32,cp
?,0.45,0.48,?,0.38,?,?,cp
?,0.23,?,0.50,?,?,0.14,cp
?,?,?,0.50,0.41,0.34,0.43,cp
0.30,?,0.48,?,?,?,?,cp
?,0.39,?,?,?,0.22,?,cp
?,0.37,?,?,?,0.44,0.52,cp
?,?,?,0.50,0.47,?,0.42,cp
?,0.51,?,?,?,?,?,cp
?,?,0.48,?,?,?,?,cp
0.43,?,?,0.50,?,0.31,?,cp
?,?,0.48,?,?,0.26,0.36,cp
0.34,0.33,?,?,?,?,?,cp
?,?,0.48,?,?,0.37,?,cp
?,?,0.48,?,?,0.35,0.44,cp
0.24,0.35,0.48,0.50,?,0.19,0.31,cp
0.36,?,0.48,0.50,?,?,?,cp
?,?,?,0.50,?,0.29,?,cp
?,0.47,0.48,0.50,?,?,?,cp
0.32,0.42,?,?,?,0.28,0.38,cp
?,0.46,0.48,0.50,?,?,0.29,cp
?,?,?,?,?,?,?,cp
0.30,0.37,0.48,?,0.59,0.41,?,cp
0.40,?,?,0.50,?,0.39,?,cp
0.28,?,0.48,0.50,?,?,?,cp
?,0.45,0.48,?,?,0.35,?,cp
?,0.38,?,0.50,0.45,?,0.50,cp
?,?,0.48,0.50,0.55,0.55,?,cp
0.43,?,?,0.50,?,?,?,cp
0.42,?,0.48,0.50,?,?,?,cp
0.23,0.33,?,?,?,?,?,cp
0.37,?,0.48,0.50,0.42,?,0.36,cp
?,0.30,0.48,?,?,0.03,0.17,cp
?,0.36,?,0.50,?,?,?,cp
0.23,0.58,?,?,?,?,?,cp
?,?,?,0.50,?,0.16,0.26,cp
?,?,0.48,?,?,0.33,?,cp
?,0.37,?,0.50,?,?,?,cp
0.40,?,?,0.50,0.45,?,?,cp
?,0.34,?,0.50,0.30,?,?,cp
0.42,?,?,0.50,0.54,?,0.43,cp
?,0.56,0.48,?,?,0.46,?,cp
?,0.36,0.48,?,0.41,0.28,0.38,cp
0.36,0.41,0.48,0.50,0.48,0.47,0.54,cp
?,0.30,0.48,0.50,0.46,?,?,cp
0.47,0.29,?,?,?,?,?,cp
?,?,0.48,0.50,?,0.52,?,cp
0.25,?,0.48,0.50,?,0.33,0.42,cp
?,?,0.48,0.50,?,0.47,?,cp
?,0.37,?,0.50,?,?,?,cp
0.35,0.48,?,0.50,0.56,?,?,cp
0.26,0.26,0.48,0.50,0.34,?,?,cp
0.44,?,?,0.50,?,?,?,cp
0.37,0.50,0.48,?,?,?,?,cp
?,?,?,0.50,?,?,0.20,cp
?,?,0.48,0.50,0.37,?,0.38,cp
?,0.30,0.48,?,?,?,?,cp
?,?,?,?,?,?,?,cp
0.41,?,0.48,?,?,?,?,cp
0.44,?,?,?,?,?,?,cp
?,?,0.48,0.50,?,0.38,0.46,cp
?,?,0.48,0.50,?,?,0.44,cp
?,?,?,0.50,?,?,?,cp
0.29,?,0.48,?,?,?,0.34,cp
0.34,?,0.48,0.50,?,0.31,0.41,cp
?,0.56,0.48,?,?,?,?,cp
?,0.46,?,?,0.52,0.49,0.56,cp
?,0.49,?,0.50,0.49,?,?,cp
0.52,0.44,?,?,?,0.36,0.42,cp
?,?,?,0.50,?,?,0.34,cp
?,?,0.48,0.50,?,?,?,cp
?,?,0.48,?,?,?,0.44,cp
0.40,0.42,?,?,?,?,0.27,cp
?,0.43,0.48,0.50,?,?,0.25,cp
0.30,0.45,0.48,0.50,?,0.21,?,cp
?,0.47,?,?,?,?,?,cp
?,?,?,?,?,0.35,0.38,cp
?,?,?,?,0.30,?,?,cp
0.57,0.54,?,0.50,?,0.28,?,cp
?,?,?,?,?,?,?,cp
?,?,0.48,0.50,?,?,?,cp
?,0.40,?,0.50,0.63,?,0.35,cp
0.24,?,0.48,0.50,?,0.34,?,cp
0.38,0.26,?,0.50,0.54,0.16,?,cp
?,?,?,?,0.53,0.18,?,cp
0.24,0.34,0.48,0.50,?,0.30,0.40,cp
?,0.50,?,0.50,0.44,0.32,?,cp
0.44,0.49,?,0.50,0.39,?,0.40,cp
?,0.32,?,0.50,?,?,?,cp
?,?,?,?,0.49,0.30,?,cp
0.47,?,?,?,0.56,?,?,cp
?,0.33,0.48,?,0.60,0.06,0.20,cp
0.34,?,0.48,0.50,0.51,0.49,0.56,cp
0.35,0.34,0.48,?,?,?,?,cp
?,0.30,0.48,?,?,?,0.39,cp
?,?,?,?,?,?,0.31,cp
?,0.51,0.48,0.50,0.58,?,0.31,cp
?,?,?,0.50,?,?,0.43,cp
0.51,0.49,0.48,0.50,?,0.14,?,cp
?,0.51,?,?,0.37,?,0.50,cp
0.29,?,?,?,?,?,?,cp
?,0.26,?,?,0.39,?,?,cp
0.24,?,?,0.50,?,?,0.34,cp
?,0.39,0.48,0.50,0.53,0.30,0.39,cp
0.04,?,?,?,?,0.29,?,cp
?,0.36,?,0.50,0.49,?,?,cp
0.34,0.51,?,0.50,?,?,?,cp
?,?,?,?,0.45,?,0.33,cp
0.40,?,0.48,?,0.42,0.35,?,cp
0.23,0.34,0.48,?,?,?,0.37,cp
?,0.44,?,?,0.42,?,0.47,cp
?,0.38,?,0.50,0.42,0.48,?,cp
?,0.31,0.48,?,0.38,?,?,cp
?,0.44,0.48,?,0.49,0.22,?,cp
?,?,?,?,?,0.28,?,cp
0.17,?,?,0.50,?,?,0.46,cp
?,?,?,?,?,?,?,cp
?,0.37,0.48,?,?,0.18,?,cp
0.26,?,0.48,0.50,?,0.26,?,cp
0.40,?,?,?,0.55,?,?,cp
0.22,0.34,0.48,?,?,?,0.39,cp
0.44,?,0.48,?,0.44,0.52,0.59,cp
?,0.42,?,0.50,?,?,?,cp
0.16,?,0.48,?,0.54,?,0.37,cp
0.06,?,?,?,?,0.92,?,im
?,0.52,0.48,0.50,?,?,?,im
?,0.47,?,?,0.51,0.82,?,im
0.23,?,0.48,0.50,?,0.88,?,im
0.34,?,?,?,0.58,?,?,im
?,?,0.48,0.50,?,0.75,?,im
0.46,0.61,0.48,?,0.48,?,0.87,im
0.27,?,0.48,0.50,0.51,?,?,im
0.52,0.39,?,0.50,0.65,0.71,?,im
0.29,?,0.48,?,0.71,0.65,?,im
?,?,?,?,0.57,?,?,im
?,?,0.48,0.50,?,?,0.63,im
0.40,0.50,0.48,0.50,?,?,?,im
0.73,0.36,0.48,?,?,?,0.92,im
?,?,0.48,0.50,0.48,0.71,?,im
0.48,?,0.48,?,0.60,?,0.80,im
0.54,?,?,?,?,?,0.88,im
?,0.41,?,0.50,?,?,?,im
0.50,?,?,?,?,0.92,0.92,im
?,?,0.48,0.50,0.51,?,?,im
?,?,?,0.50,?,?,?,im
?,0.56,?,?,0.33,0.78,?,im
0.64,?,0.48,0.50,?,?,?,im
