?,?,?,0.095,0.514,0.2245,?,0.15,15
?,0.35,?,?,?,0.0995,0.0485,?,7
F,?,?,0.135,?,0.2565,0.1415,0.21,9
?,?,0.365,0.125,?,0.2155,?,0.155,10
?,?,0.255,?,0.205,0.0895,0.0395,?,7
?,0.425,0.3,0.095,?,?,?,?,8
?,0.53,?,?,0.7775,0.237,?,0.33,20
F,?,0.425,?,0.768,?,?,0.26,16
M,0.475,?,?,?,?,?,0.165,9
F,0.55,?,?,?,0.3145,?,0.32,19
?,?,0.38,?,?,?,0.1475,?,14
M,?,?,?,0.406,0.1675,?,?,10
M,0.49,?,?,0.5415,?,?,?,11
F,0.535,?,?,?,?,0.171,?,10
F,0.47,0.355,?,0.4755,?,?,?,10
?,0.5,0.4,0.13,0.6645,?,0.133,0.24,12
I,?,0.28,?,0.2905,?,?,?,7
F,?,?,0.1,0.451,0.188,?,0.13,10
M,?,?,?,?,?,0.043,0.1,7
M,0.45,0.32,0.1,0.381,?,?,0.115,9
M,0.355,0.28,0.095,0.2455,0.0955,?,?,11
?,?,0.275,?,?,0.08,?,?,10
?,0.565,0.44,0.155,?,0.4275,0.214,?,12
F,?,0.415,?,?,?,0.21,?,9
F,0.615,0.48,0.165,1.1615,?,?,?,10
F,?,0.44,?,?,0.3825,0.188,0.3,11
F,0.58,?,0.185,?,?,0.272,0.285,11
M,0.59,?,0.14,0.931,?,0.234,0.28,12
?,?,0.475,?,0.9365,?,?,?,15
M,?,0.425,?,0.8635,0.393,0.227,0.2,11
M,?,?,0.165,?,0.3935,?,?,10
?,?,0.56,0.165,1.639,?,?,?,15
M,0.665,0.525,0.165,1.338,0.5515,?,?,18
F,0.68,?,?,?,0.815,0.3925,0.455,19
F,0.705,0.55,?,1.7095,0.633,?,0.49,13
M,0.465,0.355,?,?,?,0.124,0.125,8
F,0.54,0.475,0.155,?,0.5305,0.3075,0.34,16
F,0.45,0.355,?,?,?,?,0.145,8
?,0.575,0.445,0.135,?,0.381,?,?,11
M,0.355,?,?,0.3275,0.134,?,0.09,9
F,0.45,0.335,?,?,?,0.091,?,9
?,?,?,0.135,0.8515,0.362,?,0.27,14
?,?,?,?,?,?,0.0235,0.02,5
I,0.205,0.15,?,0.042,?,0.015,?,5
?,?,?,?,0.042,?,0.0125,?,4
?,?,0.295,0.095,0.203,?,?,0.075,7
?,?,0.37,?,0.5795,0.293,0.227,?,9
F,?,0.375,0.12,0.4605,0.1775,?,0.15,7
I,?,0.245,?,?,?,?,?,6
?,?,0.425,?,0.8355,?,0.2135,?,9
?,0.52,?,?,0.595,?,0.111,?,8
M,0.4,?,?,0.303,?,0.06,0.1,7
?,?,?,0.13,0.5415,0.2595,?,?,10
F,0.47,0.36,?,?,?,?,0.15,10
?,?,?,0.1,?,0.173,?,?,7
?,?,0.4,?,0.6615,0.2565,0.1755,0.22,8
?,?,0.35,?,?,0.192,0.0955,0.135,8
?,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8
?,0.245,0.19,?,?,?,?,?,4
F,0.505,?,0.125,?,0.246,?,0.175,7
?,?,?,0.105,0.4115,?,?,0.135,7
?,0.505,0.405,?,?,0.305,0.16,?,9
F,?,?,?,?,?,?,?,10
M,?,0.325,?,0.3785,0.1705,?,0.1,7
M,?,?,?,0.58,?,?,?,8
?,?,?,0.12,?,0.234,0.1015,0.135,8
?,?,0.44,0.16,0.915,?,0.1935,0.32,12
?,0.595,0.495,?,?,0.416,0.224,?,13
F,0.475,0.39,?,?,0.2135,?,?,10
I,0.31,?,?,?,0.063,0.0405,0.045,6
?,0.555,?,0.13,?,?,?,0.275,13
?,0.4,0.32,0.11,?,0.1405,0.0985,0.1,8
F,0.595,?,0.17,?,?,?,?,20
?,0.57,0.48,?,?,0.474,?,0.38,11
F,?,?,?,?,?,?,?,13
F,?,?,?,?,?,0.221,?,15
M,?,?,0.14,0.944,0.3625,0.189,0.315,9
F,0.6,0.47,0.15,?,0.363,0.194,0.305,10
?,?,0.425,0.14,0.788,?,0.1595,0.285,11
F,0.615,?,0.17,1.1025,?,0.2355,0.345,14
?,?,0.445,0.14,?,0.3845,0.252,0.285,9
M,0.62,?,0.175,?,0.5105,0.192,0.675,12
F,0.52,0.425,0.165,0.9885,0.396,0.225,?,16
?,?,?,0.16,1.3175,0.408,?,?,21
?,0.58,0.45,?,?,?,?,0.36,14
?,0.57,0.465,?,?,0.339,0.2225,?,12
?,?,0.465,?,1.195,?,0.205,0.4,13
?,?,?,0.16,?,?,?,?,10
F,?,?,?,?,0.2205,0.114,0.165,9
?,?,0.45,0.16,?,0.3135,0.231,?,12
M,0.565,?,0.135,0.8115,0.341,?,?,15
?,?,0.44,0.15,?,?,0.1525,?,12
?,0.595,?,?,1.115,?,0.254,0.39,13
?,0.625,?,?,1.262,0.507,0.318,0.39,10
?,0.695,?,?,?,?,?,?,15
?,?,?,0.195,1.606,?,0.388,0.48,14
?,?,?,0.15,0.725,?,?,?,9
?,0.47,0.375,0.13,?,0.214,?,?,8
M,0.47,?,0.13,?,?,?,0.165,7
?,0.475,?,?,?,?,?,0.155,10
I,0.36,0.265,0.095,0.2315,?,?,0.075,7
M,?,?,0.145,?,0.328,?,?,15
M,0.53,0.435,?,?,?,0.164,?,15
M,0.53,0.415,?,?,?,?,?,10
?,?,?,0.16,?,?,?,0.345,12
F,?,0.41,?,0.727,?,0.1835,?,12
?,?,?,?,0.802,?,?,?,11
?,?,?,?,0.6675,?,?,?,10
F,?,0.39,0.135,?,?,0.179,?,9
F,?,0.395,0.105,?,?,?,?,9
?,0.495,0.395,0.125,0.5415,0.2375,0.1345,?,9
M,?,?,0.105,0.431,?,0.107,?,9
I,?,0.32,?,0.3325,?,?,0.105,9
?,?,0.35,?,?,0.13,0.063,0.165,9
?,0.545,0.41,0.125,0.6935,?,?,0.21,11
F,0.53,0.415,?,?,0.233,?,0.18,11
?,0.49,0.375,?,?,?,0.102,0.22,11
M,0.44,0.34,?,0.402,0.1305,?,?,10
F,?,0.43,0.15,0.8825,0.3465,?,?,9
?,?,0.305,?,0.2605,?,0.0595,?,8
F,0.47,?,?,0.4205,0.163,0.1035,0.14,9
?,?,?,0.085,0.2535,?,?,0.085,7
F,0.515,0.425,?,0.766,?,?,?,14
?,?,0.265,?,?,0.09,?,0.07,6
?,?,?,0.08,?,0.081,0.0505,0.07,6
I,0.27,0.195,?,0.073,0.0285,?,0.03,5
I,0.375,?,0.09,?,0.1075,?,0.07,6
?,?,?,?,0.2505,?,?,0.08,8
?,?,0.535,?,1.7255,?,0.2635,0.54,19
M,0.71,?,0.165,?,0.7665,0.261,0.78,18
?,0.595,0.48,?,1.262,0.4835,?,?,17
F,0.44,?,0.125,?,?,0.063,0.129,9
?,?,0.26,0.09,0.1915,?,?,0.062,7
?,0.35,0.26,0.095,?,0.086,0.056,0.068,7
?,0.265,?,?,0.0975,?,?,0.028,7
?,?,0.33,?,?,0.1635,?,?,8
?,?,0.23,0.08,0.156,?,?,?,7
M,0.345,0.255,0.09,?,0.094,?,0.063,9
?,0.405,?,?,?,0.151,?,?,9
?,0.375,?,?,0.253,?,0.0575,0.0925,9
F,0.565,0.445,0.155,0.826,?,?,0.2475,10
F,?,?,?,0.741,?,?,0.2665,10
M,0.65,?,?,1.3445,0.519,0.306,?,16
M,?,?,0.155,?,?,?,?,11
?,?,0.375,?,0.5175,0.2075,?,?,10
F,0.49,0.38,?,0.549,?,0.1075,0.174,10
M,0.46,0.35,?,0.515,0.224,0.108,?,10
I,?,0.205,?,?,0.052,?,?,9
?,?,?,?,?,0.0105,0.0065,0.0125,5
I,0.17,?,0.095,?,0.013,?,?,4
M,0.59,?,0.145,?,?,0.262,0.325,15
F,?,0.5,?,?,0.469,0.2585,0.335,9
?,?,?,0.19,?,?,0.305,?,10
?,?,0.485,?,?,0.37,?,0.355,10
F,0.565,?,0.135,0.9885,?,0.1495,0.31,12
M,?,0.405,?,0.722,?,?,?,10
?,0.575,?,?,0.994,0.392,?,0.34,13
M,0.645,?,?,1.514,?,0.2615,?,16
?,0.58,0.455,0.17,0.9075,?,0.2135,?,13
?,0.575,0.46,0.165,1.124,0.2985,?,?,13
?,?,0.465,0.165,?,0.4215,0.2475,?,13
F,0.605,0.485,0.16,?,0.53,0.2575,?,13
M,?,?,?,?,0.544,?,?,12
F,?,0.56,?,2.141,?,0.398,1.005,18
?,0.65,0.545,?,1.752,0.5605,0.2895,0.815,16
M,0.725,0.57,?,?,?,?,?,14
?,?,0.575,?,?,0.765,0.4515,0.85,20
?,0.68,?,0.205,?,0.625,0.408,0.65,20
M,?,?,0.22,?,?,0.3085,0.76,14
?,0.68,0.515,0.175,1.6185,0.5125,?,0.62,12
?,?,0.55,0.215,?,0.7125,0.541,0.59,14
F,0.53,?,0.145,?,0.308,?,?,7
M,0.525,0.435,0.155,1.065,0.486,?,0.285,8
F,0.52,0.405,?,0.776,0.32,0.1845,?,8
I,0.235,0.16,0.04,?,0.0185,0.018,0.015,5
?,?,?,?,0.1785,0.0645,?,?,7
I,0.315,?,?,?,?,0.0375,0.035,5
I,?,?,0.085,0.1435,?,?,?,8
I,0.225,0.16,0.045,0.0465,?,?,?,4
?,0.58,0.475,?,?,0.385,?,?,11
?,0.57,?,?,?,0.399,?,0.295,14
?,?,?,?,1.368,?,0.266,?,21
?,?,0.45,?,1.0235,?,?,?,10
F,?,?,?,?,?,?,0.325,10
F,0.645,0.51,?,?,0.621,?,0.46,12
?,?,?,?,?,0.5455,0.2965,?,13
?,?,0.48,?,1.0525,?,?,0.285,12
F,?,0.5,?,1.383,?,0.3315,0.38,10
?,?,0.48,0.16,?,?,0.335,?,11
?,?,0.46,?,?,0.365,0.271,0.29,9
M,0.615,?,?,?,0.4845,0.2165,0.325,13
?,0.61,0.485,?,1.0225,?,?,0.36,12
M,?,0.45,0.15,?,?,?,0.36,14
I,?,0.275,0.085,0.22,?,0.06,?,8
?,?,0.4,0.14,0.8145,0.459,0.1965,0.195,10
M,?,0.405,?,?,0.346,0.1535,0.245,12
F,?,?,?,?,?,?,0.21,11
M,?,?,?,1.3035,0.4445,0.2635,?,16
M,0.56,?,?,0.922,?,?,?,15
M,?,?,0.185,?,?,?,0.285,10
F,0.45,?,0.12,0.4165,0.1655,?,?,9
M,0.5,0.4,0.165,?,0.254,0.205,0.285,13
?,0.5,0.4,?,0.63,?,?,?,12
F,?,0.435,0.17,?,?,?,0.275,13
M,?,?,0.115,0.369,0.171,?,?,8
?,0.44,?,?,0.482,0.186,0.1085,?,9
I,0.4,?,?,0.315,?,0.067,?,9
?,0.435,0.34,?,?,0.1495,?,?,8
F,?,?,?,?,?,0.1685,0.31,13
I,0.37,0.28,?,0.2655,?,0.052,0.08,7
?,?,?,0.145,0.6345,0.1995,?,0.22,10
?,?,0.25,0.09,?,0.0755,0.0415,?,7
?,?,0.325,?,0.38,?,?,0.12,12
M,?,0.405,0.14,0.6155,?,0.1355,0.205,9
F,?,0.395,?,0.66,?,0.128,?,14
M,0.55,0.405,0.14,?,0.244,?,0.255,10
